"GEO_ID","NAME","B17001_001E","B17001_001EA","B17001_001M","B17001_001MA","B17001_002E","B17001_002M","B17001_002MA","B17001_002EA","B17001_003E","B17001_003M","B17001_003MA","B17001_003EA","B17001_004E","B17001_004EA","B17001_004M","B17001_004MA","B17001_005E","B17001_005M","B17001_005MA","B17001_005EA","B17001_006E","B17001_006EA","B17001_006M","B17001_006MA","B17001_007E","B17001_007EA","B17001_007M","B17001_007MA","B17001_008E","B17001_008M","B17001_008MA","B17001_008EA","B17001_009E","B17001_009EA","B17001_009M","B17001_009MA","B17001_010E","B17001_010EA","B17001_010M","B17001_010MA","B17001_011E","B17001_011M","B17001_011MA","B17001_011EA","B17001_012E","B17001_012EA","B17001_012M","B17001_012MA","B17001_013E","B17001_013EA","B17001_013M","B17001_013MA","B17001_014E","B17001_014M","B17001_014MA","B17001_014EA","B17001_015E","B17001_015M","B17001_015MA","B17001_015EA","B17001_016E","B17001_016EA","B17001_016M","B17001_016MA","B17001_017E","B17001_017M","B17001_017MA","B17001_017EA","B17001_018E","B17001_018M","B17001_018MA","B17001_018EA","B17001_019E","B17001_019M","B17001_019MA","B17001_019EA","B17001_020E","B17001_020EA","B17001_020M","B17001_020MA","B17001_021E","B17001_021EA","B17001_021M","B17001_021MA","B17001_022E","B17001_022EA","B17001_022M","B17001_022MA","B17001_023E","B17001_023EA","B17001_023M","B17001_023MA","B17001_024E","B17001_024M","B17001_024MA","B17001_024EA","B17001_025E","B17001_025EA","B17001_025M","B17001_025MA","B17001_026E","B17001_026EA","B17001_026M","B17001_026MA","B17001_027E","B17001_027EA","B17001_027M","B17001_027MA","B17001_028E","B17001_028M","B17001_028MA","B17001_028EA","B17001_029E","B17001_029EA","B17001_029M","B17001_029MA","B17001_030E","B17001_030EA","B17001_030M","B17001_030MA","B17001_031E","B17001_031M","B17001_031MA","B17001_031EA","B17001_032E","B17001_032M","B17001_032MA","B17001_032EA","B17001_033E","B17001_033M","B17001_033MA","B17001_033EA","B17001_034E","B17001_034M","B17001_034MA","B17001_034EA","B17001_035E","B17001_035M","B17001_035MA","B17001_035EA","B17001_036E","B17001_036EA","B17001_036M","B17001_036MA","B17001_037E","B17001_037M","B17001_037MA","B17001_037EA","B17001_038E","B17001_038M","B17001_038MA","B17001_038EA","B17001_039E","B17001_039M","B17001_039MA","B17001_039EA","B17001_040E","B17001_040EA","B17001_040M","B17001_040MA","B17001_041E","B17001_041M","B17001_041MA","B17001_041EA","B17001_042E","B17001_042EA","B17001_042M","B17001_042MA","B17001_043E","B17001_043M","B17001_043MA","B17001_043EA","B17001_044E","B17001_044EA","B17001_044M","B17001_044MA","B17001_045E","B17001_045M","B17001_045MA","B17001_045EA","B17001_046E","B17001_046M","B17001_046MA","B17001_046EA","B17001_047E","B17001_047EA","B17001_047M","B17001_047MA","B17001_048E","B17001_048M","B17001_048MA","B17001_048EA","B17001_049E","B17001_049M","B17001_049MA","B17001_049EA","B17001_050E","B17001_050EA","B17001_050M","B17001_050MA","B17001_051E","B17001_051EA","B17001_051M","B17001_051MA","B17001_052E","B17001_052M","B17001_052MA","B17001_052EA","B17001_053E","B17001_053M","B17001_053MA","B17001_053EA","B17001_054E","B17001_054M","B17001_054MA","B17001_054EA","B17001_055E","B17001_055EA","B17001_055M","B17001_055MA","B17001_056E","B17001_056M","B17001_056MA","B17001_056EA","B17001_057E","B17001_057EA","B17001_057M","B17001_057MA","B17001_058E","B17001_058EA","B17001_058M","B17001_058MA","B17001_059E","B17001_059EA","B17001_059M","B17001_059MA",
"1400000US36047073200","Census Tract 732, Kings County, New York","2175","null","451","null","328","298","null","null","119","146","null","null","56","null","88","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","35","null","56","null","0","null","13","null","8","11","null","null","20","null","24","null","0","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null","209","157","null","null","0","13","null","null","47","77","null","null","16","null","25","null","0","null","13","null","0","null","13","null","7","null","11","null","0","13","null","null","0","null","13","null","44","null","69","null","6","null","9","null","22","25","null","null","25","null","20","null","42","null","37","null","1847","337","null","null","1027","253","null","null","71","50","null","null","7","10","null","null","86","54","null","null","0","null","13","null","20","28","null","null","73","48","null","null","11","16","null","null","131","null","64","null","177","68","null","null","73","null","36","null","142","64","null","null","95","null","45","null","141","114","null","null","820","176","null","null","42","null","34","null","13","19","null","null","73","54","null","null","0","null","13","null","28","null","36","null","7","11","null","null","43","27","null","null","173","102","null","null","98","null","61","null","97","39","null","null","129","null","55","null","42","null","28","null","75","null","48","null",
"1400000US36047073400","Census Tract 734, Kings County, New York","1720","null","400","null","15","20","null","null","0","13","null","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null","15","20","null","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","15","20","null","null","0","null","13","null","0","null","13","null","1705","401","null","null","832","189","null","null","40","43","null","null","0","13","null","null","44","47","null","null","19","null","28","null","7","11","null","null","36","34","null","null","40","36","null","null","104","null","58","null","131","69","null","null","98","null","111","null","115","80","null","null","95","null","55","null","103","48","null","null","873","255","null","null","49","null","56","null","4","14","null","null","27","30","null","null","22","null","22","null","0","null","13","null","18","27","null","null","46","38","null","null","184","118","null","null","62","null","38","null","120","101","null","null","129","null","45","null","137","null","70","null","75","null","45","null",
"1400000US36047073600","Census Tract 736, Kings County, New York","3186","null","538","null","376","251","null","null","108","95","null","null","0","null","13","null","0","13","null","null","0","null","13","null","4","null","8","null","22","35","null","null","0","null","13","null","4","null","10","null","37","50","null","null","24","null","38","null","11","null","18","null","0","13","null","null","5","13","null","null","1","null","4","null","268","175","null","null","32","51","null","null","0","13","null","null","11","null","19","null","36","null","44","null","0","null","13","null","10","null","16","null","29","43","null","null","23","null","31","null","50","null","55","null","46","null","49","null","20","26","null","null","11","null","15","null","0","null","13","null","2810","536","null","null","1384","296","null","null","119","120","null","null","16","23","null","null","26","39","null","null","0","null","13","null","42","48","null","null","31","29","null","null","175","83","null","null","174","null","100","null","276","111","null","null","157","null","93","null","228","85","null","null","82","null","72","null","58","57","null","null","1426","349","null","null","16","null","26","null","0","13","null","null","130","99","null","null","17","null","30","null","0","null","13","null","16","25","null","null","177","117","null","null","162","90","null","null","77","null","54","null","170","102","null","null","281","null","110","null","220","null","125","null","160","null","75","null",
"1400000US36047073800","Census Tract 738, Kings County, New York","3863","null","631","null","282","175","null","null","123","68","null","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","15","17","null","null","1","null","4","null","0","null","13","null","55","67","null","null","13","21","null","null","39","null","48","null","159","126","null","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","22","null","34","null","0","null","13","null","9","null","14","null","45","56","null","null","23","null","26","null","60","null","68","null","3581","644","null","null","1782","429","null","null","333","198","null","null","22","35","null","null","142","92","null","null","92","null","83","null","46","52","null","null","52","55","null","null","134","81","null","null","162","null","121","null","405","193","null","null","88","null","77","null","119","97","null","null","98","null","71","null","89","94","null","null","1799","321","null","null","108","null","78","null","33","54","null","null","142","80","null","null","110","null","64","null","54","null","56","null","40","49","null","null","86","55","null","null","364","195","null","null","214","null","104","null","178","91","null","null","145","null","93","null","182","null","131","null","143","null","111","null",
"1400000US36047074000","Census Tract 740, Kings County, New York","3940","null","794","null","723","296","null","null","460","191","null","null","98","null","56","null","59","49","null","null","60","null","50","null","13","null","26","null","0","13","null","null","26","null","38","null","22","null","33","null","20","33","null","null","61","null","51","null","59","null","56","null","17","35","null","null","13","21","null","null","12","null","21","null","263","146","null","null","0","13","null","null","0","13","null","null","77","null","56","null","12","null","26","null","0","null","13","null","22","null","45","null","20","40","null","null","13","null","26","null","55","null","46","null","50","null","54","null","0","13","null","null","11","null","20","null","3","null","20","null","3217","814","null","null","1781","532","null","null","154","111","null","null","98","126","null","null","90","77","null","null","99","null","127","null","0","13","null","null","146","108","null","null","67","69","null","null","234","null","121","null","178","111","null","null","354","null","215","null","174","53","null","null","182","null","129","null","5","23","null","null","1436","349","null","null","162","null","157","null","0","13","null","null","42","47","null","null","26","null","42","null","0","null","13","null","10","59","null","null","134","65","null","null","206","110","null","null","295","null","227","null","115","76","null","null","172","null","80","null","175","null","82","null","99","null","75","null",
"1400000US36047074200","Census Tract 742, Kings County, New York","3137","null","564","null","386","202","null","null","175","105","null","null","13","null","20","null","0","13","null","null","38","null","41","null","0","null","13","null","0","13","null","null","18","null","27","null","50","null","55","null","14","17","null","null","16","null","25","null","6","null","9","null","17","19","null","null","3","6","null","null","0","null","13","null","211","131","null","null","46","49","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","18","null","28","null","37","50","null","null","26","null","28","null","32","null","35","null","20","null","33","null","4","8","null","null","7","null","11","null","21","null","24","null","2751","598","null","null","1364","362","null","null","155","67","null","null","23","26","null","null","87","56","null","null","37","null","35","null","81","83","null","null","82","82","null","null","19","43","null","null","173","null","104","null","188","76","null","null","161","null","83","null","154","61","null","null","135","null","83","null","69","40","null","null","1387","270","null","null","97","null","65","null","21","23","null","null","43","41","null","null","68","null","38","null","8","null","12","null","44","33","null","null","167","90","null","null","157","70","null","null","113","null","50","null","163","89","null","null","238","null","100","null","124","null","49","null","144","null","76","null",
"1400000US36047074400","Census Tract 744, Kings County, New York","3084","null","692","null","98","109","null","null","39","38","null","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","2","null","4","null","2","null","5","null","6","10","null","null","29","37","null","null","0","null","13","null","59","72","null","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","26","null","36","null","0","null","13","null","0","null","13","null","33","37","null","null","0","null","13","null","0","null","13","null","2986","704","null","null","1627","539","null","null","137","92","null","null","37","25","null","null","225","131","null","null","58","null","46","null","130","127","null","null","99","69","null","null","259","157","null","null","95","null","74","null","131","46","null","null","211","null","84","null","145","53","null","null","84","null","55","null","16","17","null","null","1359","227","null","null","138","null","65","null","0","13","null","null","170","85","null","null","120","null","54","null","31","null","27","null","31","22","null","null","205","131","null","null","66","37","null","null","124","null","53","null","248","81","null","null","95","null","47","null","66","null","39","null","65","null","35","null",
"1400000US36047074600","Census Tract 746, Kings County, New York","2596","null","719","null","141","129","null","null","29","46","null","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","1","null","3","null","28","46","null","null","0","13","null","null","0","null","13","null","112","120","null","null","0","13","null","null","0","13","null","null","0","null","13","null","20","null","32","null","0","null","13","null","0","null","13","null","0","13","null","null","1","null","2","null","9","null","11","null","0","null","13","null","0","13","null","null","82","null","106","null","0","null","13","null","2455","709","null","null","1425","416","null","null","120","82","null","null","41","33","null","null","219","132","null","null","56","null","41","null","26","30","null","null","100","64","null","null","175","103","null","null","169","null","77","null","136","73","null","null","118","null","54","null","124","59","null","null","73","null","37","null","68","38","null","null","1030","331","null","null","84","null","66","null","42","50","null","null","80","66","null","null","65","null","66","null","43","null","55","null","0","13","null","null","42","36","null","null","162","58","null","null","127","null","62","null","121","46","null","null","93","null","40","null","135","null","43","null","36","null","29","null",
"1400000US36047074800","Census Tract 748, Kings County, New York","1725","null","422","null","347","193","null","null","231","144","null","null","18","null","31","null","0","13","null","null","40","null","50","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","8","12","null","null","0","null","13","null","58","null","92","null","13","19","null","null","48","78","null","null","46","null","39","null","116","83","null","null","11","19","null","null","0","13","null","null","9","null","14","null","0","null","13","null","19","null","23","null","19","null","23","null","0","13","null","null","8","null","12","null","17","null","22","null","6","null","9","null","3","6","null","null","6","null","9","null","18","null","18","null","1378","374","null","null","749","225","null","null","133","164","null","null","31","24","null","null","45","36","null","null","34","null","27","null","20","23","null","null","25","24","null","null","43","34","null","null","60","null","55","null","83","41","null","null","78","null","44","null","45","34","null","null","152","null","49","null","0","13","null","null","629","183","null","null","22","null","28","null","2","15","null","null","41","29","null","null","30","null","22","null","6","null","11","null","12","17","null","null","57","45","null","null","118","134","null","null","51","null","28","null","56","36","null","null","77","null","35","null","141","null","50","null","16","null","25","null",
"1400000US36047075000","Census Tract 750, Kings County, New York","3100","null","444","null","128","89","null","null","63","50","null","null","0","null","13","null","0","13","null","null","8","null","12","null","0","null","13","null","0","13","null","null","0","null","13","null","10","null","15","null","0","13","null","null","9","null","13","null","0","null","13","null","0","13","null","null","21","31","null","null","15","null","23","null","65","48","null","null","0","13","null","null","0","13","null","null","0","null","13","null","8","null","12","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","8","null","11","null","0","null","13","null","10","14","null","null","29","null","34","null","10","null","13","null","2972","438","null","null","1558","275","null","null","154","93","null","null","63","98","null","null","238","78","null","null","70","null","45","null","47","35","null","null","47","37","null","null","161","74","null","null","163","null","65","null","224","100","null","null","92","null","34","null","118","45","null","null","106","null","55","null","75","44","null","null","1414","217","null","null","138","null","87","null","16","17","null","null","109","48","null","null","83","null","47","null","14","null","16","null","25","26","null","null","191","73","null","null","165","107","null","null","200","null","68","null","132","56","null","null","148","null","55","null","147","null","60","null","46","null","37","null",
